ip_address,city,latitude,longitude,country
172.247.254.156,San Jose,37.3361905,-121.890583,United States
88.130.24.242,Frankfurt am Main,50.1106444,8.6820917,Germany
47.100.232.78,Hangzhou (Xihu Qu),30.2156829,120.1304625,China
3.0.223.233,Singapore,1.2899175,103.8519072,Singapore
112.127.40.76,Hangzhou (Xihu Qu),30.2156829,120.1304625,China
103.145.88.20,Penukonda,14.119682449999999,77.62273815155461,India
44.197.84.31,Herndon,38.9695316,-77.3859479,United States
68.183.146.79,Clifton,40.8584328,-74.1637553,United States
99.234.129.171,Brampton,43.6858146,-79.7599337,Canada
18.224.80.151,Columbus,39.9622601,-83.0007065,United States
23.42.105.44,Osaka,34.7021912,135.4955866,Japan
80.241.140.158,San Giorgio a Cremano,40.8292962,14.3341677,Italy
154.210.213.190,Chai Wan,22.2656067,114.2379644,China
2.22.80.60,Uberlândia,-18.9188041,-48.2767837,Brazil
13.126.126.233,Mumbai,19.0759899,72.8773928,India
3.232.23.140,Washington D.C.,38.8950368,-77.0365427,United States
194.110.112.68,Dallas,32.7762719,-96.7968559,United States
206.247.48.91,San Jose (Downtown San Jose),37.3308357,-121.8886792,United States
147.55.255.225,Olympia (Downtown),39.9435212,-75.14099572500001,United States
103.39.59.33,Mong Kok,22.3204156,114.1698105,China
