ip_address,success,server,x_powered_by,status_code,redirect,redirect_location
172.247.254.156,False,,,,False,
88.130.24.242,True,openresty,,404.0,False,False
47.100.232.78,False,,,,False,
3.0.223.233,True,nginx/1.14.0 (Ubuntu),,200.0,False,False
112.127.40.76,True,Apache,,404.0,False,False
103.145.88.20,True,,,403.0,False,False
44.197.84.31,True,,,200.0,False,False
68.183.146.79,True,nginx,,404.0,False,False
99.234.129.171,False,,,,False,
18.224.80.151,False,,,,False,
23.42.105.44,True,AkamaiGHost,,400.0,False,False
80.241.140.158,True,nginx,,200.0,False,False
154.210.213.190,True,openresty,,503.0,False,False
2.22.80.60,True,AkamaiGHost,,400.0,False,False
13.126.126.233,False,,,,False,
3.232.23.140,False,,,,False,
194.110.112.68,False,,,,False,
206.247.48.91,False,,,,False,
147.55.255.225,False,,,,False,
103.39.59.33,False,,,,False,
