ip_address,success,server_version,certificate
112.127.40.76,False,,False
172.247.254.156,False,,False
80.241.140.158,False,,False
154.210.213.190,False,,False
206.247.48.91,False,,False
2.22.80.60,False,,False
47.100.232.78,False,,False
88.130.24.242,False,,False
68.183.146.79,False,,False
194.110.112.68,False,,False
44.197.84.31,False,,False
103.145.88.20,False,,False
3.0.223.233,False,,False
13.126.126.233,False,,False
18.224.80.151,False,,False
99.234.129.171,False,,False
3.232.23.140,False,,False
147.55.255.225,False,,False
23.42.105.44,False,,False
103.39.59.33,False,,False
