ip_address,success,version,cert_issuer,company
147.55.255.225,False,,,
194.110.112.68,True,TLSv1.2,DigiCert TLS RSA SHA256 2020 CA1,eVenture Limited
206.247.48.91,True,TLSv1.2,DigiCert TLS RSA SHA256 2020 CA1,"Zoom Video Communications, Inc."
68.183.146.79,True,TLSv1.2,R3,
44.197.84.31,True,TLSv1.2,Sectigo RSA Domain Validation Secure Server CA,
18.224.80.151,True,TLSv1.2,Go Daddy Secure Certificate Authority - G2,
3.232.23.140,False,,,
172.247.254.156,True,TLSv1.2,IPMI,Super Micro Computer
103.145.88.20,True,TLSv1.2,Go Daddy Secure Certificate Authority - G2,
23.42.105.44,True,TLSv1.2,GlobalSign Extended Validation CA - SHA256 - G3,FX PRIME by GMO Corporation
88.130.24.242,True,TLSv1.2,localhost,localhost
47.100.232.78,True,TLSv1.2,R3,
80.241.140.158,True,TLSv1.2,Sectigo RSA Domain Validation Secure Server CA,
154.210.213.190,False,,,
2.22.80.60,True,TLSv1.2,DigiCert SHA2 Secure Server CA,CVS Pharmacy Inc
3.0.223.233,True,TLSv1.2,R3,
13.126.126.233,True,TLSv1.2,Amazon,
112.127.40.76,True,TLSv1.2,Encryption Everywhere DV TLS CA - G1,
103.39.59.33,False,,,
99.234.129.171,False,,,
